key,value,type
AMMCacheMiss,0,U64
AMMCacheRefs,0,U64
AMMCpuClock,0,U64
AMMCpuCycle,0,U64
AMMInstructions,0,U64
AMMPerfElapsedTime,0,U64
AMMTaskClock,0,U64
elseCacheMiss,0,U64
elseCacheRefs,0,U64
elseCpuClock,0,U64
elseCpuCycle,0,U64
elseInstructions,0,U64
elsePerfElapsedTime,0,U64
elseTaskClock,0,U64
AMMThroughput,0,Double
CorrelationError,0,Double
M1FroError,0,Double
MFroError,0,Double
SxxFroError,0,Double
SxyFroError,0,Double
SyyFroError,0,Double
